hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,booking_changes,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date
City Hotel,0,15,2017,July,6,0,1,1,0,1,125,0,0,2017/7/7
City Hotel,1,63,2015,July,7,2,5,2,0,0,45,0,1,2015/7/7
City Hotel,0,96,2017,May,1,1,3,2,0,0,85,0,0,2017/5/5
City Hotel,0,44,2016,January,2,2,1,2,0,0,98,0,0,2016/1/5
City Hotel,0,10,2017,March,3,0,2,2,0,0,108,0,0,2017/3/5
City Hotel,1,88,2016,September,24,2,1,2,2,0,207.9,0,1,2016/6/30
City Hotel,0,0,2015,August,5,0,2,1,0,0,80,0,0,2015/8/7
City Hotel,0,96,2016,August,27,2,1,2,0,0,63.75,0,0,2016/8/30
City Hotel,0,3,2016,July,10,2,0,1,0,0,136,0,0,2016/7/12
City Hotel,0,0,2015,August,6,0,1,2,0,1,81,0,0,1990/1/1
City Hotel,0,3,2016,February,4,0,1,2,0,0,93,0,1,2016/2/5
City Hotel,1,262,2015,July,6,1,1,2,0,0,62,0,0,2015/1/1
City Hotel,0,57,2016,February,7,2,2,2,0,0,65,0,1,2016/2/11
City Hotel,0,74,2015,September,18,0,2,2,0,0,109,0,0,2015/9/20
City Hotel,1,72,2016,March,26,1,1,2,0,0,96,0,0,2016/2/9
City Hotel,0,24,2016,September,26,1,0,1,0,0,85.5,0,0,2016/9/27
City Hotel,1,128,2017,August,9,0,4,2,0,1,125,0,1,2017/4/7
City Hotel,1,66,2017,July,31,1,2,3,0,0,230,0,2,2017/5/29
City Hotel,1,260,2015,July,4,2,2,2,0,0,62,0,0,2015/6/16
City Hotel,0,159,2017,February,4,1,1,2,0,0,79.2,0,1,2017/2/6
City Hotel,0,54,2016,July,25,1,5,3,0,0,168.3,0,2,2016/7/31
City Hotel,1,67,2017,February,12,2,0,2,0,0,80,0,0,2016/12/7
City Hotel,0,264,2015,July,8,0,2,1,0,0,0,0,0,2015/7/10
City Hotel,0,1,2016,June,23,0,1,2,0,0,97,0,0,2016/6/24
City Hotel,0,42,2015,September,15,0,2,1,0,0,65,0,0,2015/9/17
City Hotel,0,20,2015,July,22,0,2,2,0,0,62,0,0,2015/7/24
City Hotel,0,166,2017,January,13,0,2,2,0,0,90,0,1,2017/1/15
City Hotel,0,273,2015,July,17,0,2,2,0,0,109,0,0,2015/7/19
City Hotel,1,108,2016,March,30,0,3,2,0,0,87.3,0,2,2016/3/27
City Hotel,1,197,2017,May,7,2,1,2,0,0,99,0,2,2016/11/10
City Hotel,1,66,2016,September,15,0,2,2,0,0,149.4,0,0,2016/8/7
City Hotel,1,100,2016,April,23,1,1,2,0,0,96,0,0,2016/2/9
City Hotel,0,78,2017,July,15,1,1,3,0,0,170.5,0,1,2017/7/17
City Hotel,1,19,2017,May,12,2,3,2,2,0,262,0,0,2017/4/23
City Hotel,1,111,2017,April,27,1,3,2,0,0,120,0,0,2017/1/6
City Hotel,0,263,2017,July,6,2,3,2,1,0,166.05,0,2,2017/7/11
City Hotel,0,213,2017,August,28,1,3,1,0,1,104,0,1,2017/9/1
City Hotel,0,292,2017,July,29,2,2,2,0,1,98.85,0,1,2017/8/2
City Hotel,1,136,2017,January,11,0,3,2,0,0,79.2,0,2,2016/9/17
City Hotel,1,130,2016,April,13,0,4,2,0,0,100,0,0,2015/12/15
City Hotel,1,116,2016,February,28,2,1,1,0,0,61,0,0,2016/2/28
City Hotel,0,108,2017,May,4,2,3,2,0,0,108,0,0,2017/5/9
City Hotel,1,95,2016,November,20,2,0,2,0,0,90,0,2,2016/9/21
City Hotel,1,5,2016,August,21,1,0,2,0,0,167,0,0,2016/8/17
City Hotel,0,11,2017,May,22,1,1,1,0,0,235,0,2,2017/5/24
City Hotel,0,24,2015,November,8,2,3,2,0,1,95.8,0,0,2015/11/13
City Hotel,0,0,2017,February,25,0,1,1,0,1,88.2,0,0,2017/2/26
City Hotel,1,28,2017,March,2,0,3,2,0,0,95,0,0,2017/2/2
City Hotel,1,178,2016,April,28,0,3,1,0,0,110,0,0,2015/12/18
City Hotel,1,240,2017,February,23,2,3,2,0,0,85,0,0,1990/1/1
City Hotel,1,169,2017,June,8,0,3,2,0,0,5400,0,0,2016/12/21
City Hotel,0,42,2016,August,25,2,3,2,0,0,140.58,0,0,2016/8/30
City Hotel,1,56,2016,June,8,0,1,2,0,0,120,0,0,2016/6/2
City Hotel,0,278,2017,August,25,2,3,2,0,0,89.1,0,2,2017/8/30
City Hotel,0,2,2015,September,5,2,2,2,0,0,62,0,0,2015/9/9
City Hotel,0,164,2015,October,2,0,2,1,0,0,100,0,0,2015/10/4
City Hotel,0,57,2017,March,17,0,2,2,0,0,75,0,0,2017/3/19
City Hotel,0,4,2016,November,6,2,2,2,0,0,117.37,0,1,2016/11/10
City Hotel,0,8,2015,October,24,2,3,2,0,1,133.3,0,1,2015/10/29
City Hotel,0,140,2015,November,18,0,4,2,0,1,75,0,0,2015/11/22
City Hotel,0,29,2017,August,15,0,2,2,0,0,80,0,1,2017/8/17
City Hotel,0,10,2017,July,6,0,1,1,0,0,95,0,0,2017/7/7
City Hotel,1,116,2016,August,5,2,5,3,0,0,145.41,0,0,2016/4/18
City Hotel,1,299,2015,August,12,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,0,14,2015,October,15,0,2,2,0,1,100,0,0,2015/10/17
City Hotel,0,1,2015,August,10,1,0,2,0,0,96,0,0,2015/8/11
City Hotel,0,11,2017,May,29,1,3,2,0,0,157.5,0,1,2017/6/2
City Hotel,1,43,2016,November,9,0,3,2,0,0,176.67,0,2,2016/10/6
City Hotel,0,33,2016,January,25,1,2,2,0,1,64,0,0,2016/1/28
City Hotel,1,128,2016,October,11,0,5,2,0,0,132.3,0,0,2016/6/8
City Hotel,1,31,2016,April,14,0,1,2,0,0,94.5,0,0,2016/3/28
City Hotel,0,60,2017,January,20,1,2,2,0,1,102.6,0,2,2017/1/23
City Hotel,1,47,2017,July,30,2,1,1,1,0,164,0,2,2017/7/14
City Hotel,1,30,2017,February,17,1,2,2,0,0,103.8,0,0,2017/1/27
City Hotel,0,256,2016,August,26,0,2,2,0,0,72.25,0,1,2016/8/28
City Hotel,1,129,2017,April,3,1,1,2,0,0,100,0,0,2016/11/25
City Hotel,1,74,2017,March,27,1,5,2,2,0,164.67,0,1,2017/3/10
City Hotel,0,74,2015,October,17,2,2,2,0,0,68.5,0,0,2015/10/21
City Hotel,0,126,2016,August,8,1,2,2,0,0,86.36,0,0,2016/8/11
City Hotel,0,9,2016,October,30,2,0,1,0,0,80.47,0,1,2016/11/1
City Hotel,1,125,2017,June,15,2,3,2,0,0,122.4,0,0,2017/2/15
City Hotel,1,72,2015,November,13,0,2,2,0,0,72.25,0,1,2015/10/28
City Hotel,1,64,2017,August,3,0,3,1,0,0,140,0,1,2017/5/31
City Hotel,0,122,2016,April,15,0,2,2,0,0,85,0,0,2016/4/17
City Hotel,1,56,2016,June,8,0,1,2,0,0,120,0,0,2016/6/2
City Hotel,1,270,2016,September,30,1,2,2,0,0,95.4,0,1,2016/2/18
City Hotel,0,76,2016,March,21,1,5,2,0,0,76.5,0,1,2016/3/27
City Hotel,1,72,2017,August,17,0,3,2,1,0,138.02,0,2,2017/6/6
City Hotel,0,9,2016,December,16,0,1,2,0,0,98,0,0,2016/12/17
City Hotel,0,128,2016,June,26,2,1,2,0,0,109.8,0,1,2016/6/29
City Hotel,1,350,2016,June,17,0,2,2,0,0,140,0,0,2015/8/11
City Hotel,1,256,2015,September,14,1,2,1,0,1,74,0,0,2015/9/9
City Hotel,0,119,2016,December,4,2,3,1,0,1,79.2,0,1,2016/12/9
City Hotel,0,77,2016,October,7,1,2,2,0,0,132.3,0,3,2016/10/10
City Hotel,1,82,2017,March,27,1,3,2,0,0,74.8,0,0,2017/3/18
City Hotel,1,65,2016,July,14,0,3,2,0,0,139.5,0,0,2016/5/10
City Hotel,0,28,2017,April,28,0,2,2,0,0,92,0,1,2017/4/30
City Hotel,1,71,2016,June,14,0,3,1,0,0,120,0,0,2016/4/27
City Hotel,0,1,2016,March,27,1,0,1,0,0,95,0,1,2016/3/28
City Hotel,0,7,2016,February,11,0,3,1,1,0,78.5,0,1,2016/2/14
City Hotel,0,334,2017,January,2,1,4,3,0,0,107.95,0,3,2017/1/7
City Hotel,1,350,2016,September,30,1,2,2,0,0,90,0,0,2015/11/2
City Hotel,0,2,2015,October,31,1,1,1,0,0,60,0,0,2015/11/2
City Hotel,0,208,2017,May,24,0,2,1,0,1,91.5,0,0,2017/5/26
City Hotel,1,162,2016,October,14,2,2,1,0,0,115,0,0,2016/8/11
City Hotel,1,136,2016,July,9,2,3,2,2,0,172.55,0,0,2016/2/24
City Hotel,1,450,2017,July,11,0,1,2,0,0,90,0,0,2017/6/28
City Hotel,1,303,2016,August,19,2,3,2,0,0,78,0,0,2016/7/19
City Hotel,0,168,2017,June,18,2,2,2,2,2,189,0,3,2017/6/22
City Hotel,1,267,2016,March,31,0,1,1,0,0,6,0,0,2015/10/21
City Hotel,1,47,2016,August,22,1,3,2,2,0,207.9,0,1,2016/7/13
City Hotel,0,29,2016,May,17,0,3,1,0,0,90,0,0,2016/5/20
City Hotel,0,117,2016,July,8,2,3,2,0,1,116.05,0,1,2016/7/13
City Hotel,0,41,2016,June,28,0,1,2,0,0,85.6,0,0,2016/6/29
City Hotel,1,40,2015,October,19,1,2,1,0,0,75.6,0,0,2015/10/14
City Hotel,1,405,2016,August,10,0,2,2,0,0,65,0,0,2015/12/9
City Hotel,0,89,2016,April,10,2,3,2,0,1,90.95,0,1,2016/4/15
City Hotel,0,15,2016,September,6,0,5,1,0,0,111,0,0,2016/9/11
City Hotel,1,38,2017,January,14,0,1,1,0,0,75,0,0,2016/12/7
City Hotel,1,323,2016,May,17,0,4,2,0,0,70,0,0,2016/5/5
City Hotel,0,40,2017,August,6,2,1,2,0,0,140,0,2,2017/8/9
City Hotel,0,228,2017,June,2,0,2,2,0,2,91.51,0,1,2017/6/4
City Hotel,0,2,2016,January,16,0,1,2,0,0,86,1,1,2016/1/17
City Hotel,1,285,2017,March,2,0,3,2,0,0,81.9,0,0,2016/7/5
City Hotel,0,23,2016,April,10,2,2,1,0,0,125,0,0,2016/4/14
City Hotel,0,301,2016,July,30,1,1,2,0,0,115,0,1,2016/8/1
City Hotel,0,462,2017,July,1,2,1,2,0,0,112.67,0,1,2017/7/4
City Hotel,1,314,2016,October,12,0,3,2,0,0,75,0,0,1990/1/1
City Hotel,1,157,2016,July,16,2,2,2,0,0,87.13,0,0,2016/2/11
City Hotel,1,40,2016,June,27,1,3,2,0,0,102.6,0,0,2016/6/13
City Hotel,0,2,2016,March,8,0,1,2,0,0,103,0,1,2016/3/9
City Hotel,1,166,2016,November,1,0,3,1,0,0,110,0,0,2016/7/13
City Hotel,1,280,2016,November,16,0,3,2,0,0,91.8,0,1,2016/5/24
City Hotel,0,158,2017,July,14,2,5,2,0,0,143.1,0,2,2017/7/21
City Hotel,1,267,2016,September,30,1,2,2,0,0,95,0,0,2016/2/9
City Hotel,1,73,2016,October,12,1,4,2,1,0,135,0,1,2016/10/7
City Hotel,0,106,2017,February,3,0,1,4,0,0,192.8,0,1,2017/2/4
City Hotel,1,52,2016,August,27,2,1,3,0,0,150.9,0,1,2016/8/14
City Hotel,1,220,2016,December,21,1,4,3,0,0,104.55,0,0,2016/7/20
City Hotel,0,25,2017,May,22,1,2,3,0,0,210,0,1,2017/5/25
City Hotel,0,5,2015,September,14,1,0,1,0,1,65,0,0,2015/9/15
City Hotel,0,27,2017,June,12,1,3,2,0,0,121.75,0,2,2017/6/16
City Hotel,0,1,2017,February,28,0,4,1,0,0,107.05,0,1,2017/3/4
City Hotel,0,9,2016,October,2,2,1,2,0,0,85,0,1,2016/10/5
City Hotel,1,24,2016,March,29,0,3,2,0,0,134.33,0,0,2016/3/17
City Hotel,0,86,2017,April,9,2,5,3,0,0,180.63,0,1,2017/4/16
City Hotel,0,87,2016,October,23,2,1,2,0,0,106.25,0,1,2016/10/26
City Hotel,0,3,2016,February,13,1,1,2,0,0,60.83,0,0,2016/2/15
City Hotel,0,320,2016,August,18,0,2,2,0,0,115,0,1,2016/8/20
City Hotel,0,212,2017,March,17,1,2,1,0,0,122.4,0,0,2017/3/20
City Hotel,1,188,2016,June,15,0,2,1,0,0,130,0,0,2016/1/18
City Hotel,1,104,2016,April,5,0,2,2,0,0,96,0,0,2016/1/19
City Hotel,0,309,2017,August,7,2,5,2,0,0,141.3,0,1,2017/8/14
City Hotel,1,356,2017,January,6,1,2,2,0,0,81.9,0,0,2016/1/17
City Hotel,0,3,2016,June,19,2,1,1,0,0,76.5,0,0,2016/6/22
City Hotel,1,36,2016,March,24,0,3,2,1,1,159,0,1,2016/2/19
City Hotel,1,228,2016,July,27,0,2,2,0,0,92.48,0,0,2016/1/2
City Hotel,1,243,2017,March,3,1,2,2,0,0,79.2,0,0,2016/7/10
City Hotel,1,127,2017,May,27,1,1,2,2,0,230,0,0,2017/1/21
City Hotel,0,72,2015,September,11,0,2,2,0,0,126,0,0,2015/9/13
City Hotel,1,115,2016,April,8,0,2,2,0,0,65,0,0,2016/3/31
City Hotel,0,190,2016,July,18,1,1,2,2,0,177.3,1,2,2016/7/20
City Hotel,1,13,2016,April,28,0,3,2,0,0,137.67,0,1,2016/4/16
City Hotel,1,22,2016,February,4,0,3,1,0,0,82.33,0,0,2016/1/18
City Hotel,0,142,2016,July,1,0,2,2,0,0,85.5,0,1,2016/7/3
City Hotel,0,42,2017,March,25,2,2,3,0,0,130.05,0,2,2017/3/29
City Hotel,0,40,2016,August,27,2,1,3,0,0,153.6,0,3,2016/8/30
City Hotel,1,240,2017,May,25,0,3,2,0,0,138.6,0,1,2016/9/27
City Hotel,1,317,2016,September,9,1,2,2,0,0,90,0,0,2015/12/23
City Hotel,0,118,2016,July,11,2,5,3,0,1,133.46,0,1,2016/7/18
City Hotel,1,8,2016,January,12,6,18,1,0,0,80.62,0,0,2016/1/12
City Hotel,0,27,2017,August,15,0,4,2,0,0,169,1,1,2017/8/19
City Hotel,0,46,2015,November,13,1,2,2,0,0,60,0,0,2015/11/16
City Hotel,0,336,2016,September,21,1,4,2,0,0,78,0,0,2016/9/26
City Hotel,1,123,2017,March,31,1,2,3,0,0,158.4,0,1,2016/12/19
City Hotel,0,320,2016,August,18,0,2,2,0,0,115,0,1,2016/8/20
City Hotel,0,53,2016,September,11,1,0,1,0,0,94.32,0,0,2016/9/12
City Hotel,0,4,2016,May,23,1,0,1,0,0,153,0,1,2016/5/24
City Hotel,0,9,2016,September,8,0,1,1,0,0,169,1,3,2016/9/9
City Hotel,0,31,2016,August,28,2,3,2,0,0,108.3,0,0,2016/9/2
City Hotel,0,40,2015,October,5,1,1,1,0,1,65,0,0,2015/10/7
City Hotel,1,105,2017,May,19,0,2,1,0,0,160,0,0,2017/2/3
City Hotel,1,61,2016,December,22,2,5,2,0,0,96.9,0,4,2016/10/30
City Hotel,0,0,2017,July,30,1,0,1,0,0,65,0,0,2017/7/31
City Hotel,1,221,2016,June,10,1,2,2,0,0,80,0,0,2015/11/17
City Hotel,1,151,2017,April,26,2,4,2,0,0,100.5,0,0,2017/1/1
City Hotel,0,47,2017,June,11,2,2,2,0,0,140,0,1,2017/6/15
City Hotel,1,398,2016,August,11,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,11,2016,May,2,1,1,3,0,0,186,0,2,2016/5/4
City Hotel,0,13,2015,December,15,0,4,1,0,0,65,0,0,2015/12/19
City Hotel,1,265,2016,October,9,2,3,2,0,0,100.3,0,0,2016/7/3
City Hotel,0,76,2015,October,13,0,2,2,0,0,98.25,1,1,2015/10/15
City Hotel,0,46,2016,September,5,1,3,4,0,0,186.77,0,1,2016/9/9
City Hotel,0,265,2016,June,24,0,2,2,0,0,115,0,1,2016/6/26
City Hotel,0,58,2016,May,13,0,2,3,0,0,159.3,0,3,2016/5/15
City Hotel,1,339,2015,September,21,1,1,2,0,0,62,0,0,2015/1/1
City Hotel,1,3,2016,November,21,1,0,2,0,0,95,0,0,2016/11/18
City Hotel,0,22,2015,November,21,2,1,2,0,0,88.33,0,1,2015/11/24
City Hotel,0,273,2015,July,17,0,2,1,0,1,87,0,0,2015/7/19
City Hotel,1,172,2017,August,6,4,10,2,0,0,113.32,0,0,2017/4/9
City Hotel,0,11,2017,May,21,2,1,1,0,1,120,0,0,2017/5/24
City Hotel,0,19,2016,September,11,2,1,2,0,0,107,0,0,2016/9/14
City Hotel,1,264,2015,July,8,0,2,2,0,0,62,0,0,2015/6/29
City Hotel,1,177,2017,January,19,1,3,2,0,0,85,0,1,2016/10/12
City Hotel,1,22,2015,July,22,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,0,7,2016,March,29,0,2,1,0,0,95,0,0,2016/3/31
City Hotel,0,4,2016,February,15,1,1,1,0,0,65,0,1,2016/2/17
City Hotel,1,105,2016,April,6,0,1,2,0,0,75,0,0,2016/1/18
City Hotel,0,1,2016,May,6,0,2,2,0,1,158,1,0,2016/5/8
City Hotel,0,48,2015,September,11,0,1,2,0,0,104,0,0,2015/9/12
City Hotel,0,213,2016,August,23,1,5,2,0,1,123.25,0,0,2016/8/29
City Hotel,0,27,2017,February,24,1,2,2,0,0,118,0,1,2017/2/27
City Hotel,0,41,2016,December,27,1,5,2,0,1,70,0,0,2017/1/2
City Hotel,1,54,2017,July,12,0,4,2,0,0,155,0,0,2017/6/4
City Hotel,1,158,2017,August,24,2,5,3,0,0,202.5,0,0,2017/3/20
City Hotel,0,2,2017,February,24,0,1,2,0,0,98,0,2,2017/2/25
City Hotel,0,6,2017,February,13,1,1,2,0,1,98,0,0,2017/2/15
City Hotel,0,2,2017,February,24,0,1,2,0,2,97,1,1,2017/2/25
City Hotel,0,204,2015,October,9,2,2,2,0,0,72.75,0,0,2015/10/13
City Hotel,1,300,2015,August,13,0,2,2,0,0,62.8,0,0,2014/10/17
City Hotel,0,1,2016,August,7,1,0,2,0,0,98,0,1,2016/8/8
